"year","ghf","analysis_unit","file_name"
2016,1569.32435129741,"file_151_unit_5_2_28day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2016,1569.32435129741,"file_151_unit_5_2_56day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2016,1569.32435129741,"file_151_unit_5_3_28day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2016,1569.32435129741,"file_151_unit_6_1_28day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2016,1569.32435129741,"file_151_unit_6_1_56day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2016,1569.32435129741,"file_151_unit_6_2_28day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2009,883.679070097101,"file_152_unit_1_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2009,883.679070097101,"file_152_unit_1_1_56day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2009,883.679070097101,"file_152_unit_1_1_allday","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2009,883.679070097101,"file_152_unit_1_2_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2012,893.395846622723,"file_152_unit_10_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2012,893.395846622723,"file_152_unit_10_1_56day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2012,893.395846622723,"file_152_unit_10_2_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2012,893.395846622723,"file_152_unit_11_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2012,893.395846622723,"file_152_unit_11_2_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2012,893.395846622723,"file_152_unit_12_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2013,900.995251258062,"file_152_unit_13_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2013,900.995251258062,"file_152_unit_14_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2013,900.995251258062,"file_152_unit_15_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2013,900.995251258062,"file_152_unit_15_2_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2014,898.964207243603,"file_152_unit_16_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2014,898.964207243603,"file_152_unit_16_1_56day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2014,898.964207243603,"file_152_unit_17_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2014,898.964207243603,"file_152_unit_17_2_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2014,898.964207243603,"file_152_unit_18_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2014,898.964207243603,"file_152_unit_18_2_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2015,970.013750088596,"file_152_unit_19_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2009,883.679070097101,"file_152_unit_2_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2009,883.679070097101,"file_152_unit_2_2_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2015,970.013750088596,"file_152_unit_20_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2015,970.013750088596,"file_152_unit_21_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2015,970.013750088596,"file_152_unit_21_2_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2016,988.408533560139,"file_152_unit_22_1_28day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
2016,988.408533560139,"file_152_unit_22_1_56day","processed_PublicData_Team_Africa_noMadagascarTanzania.csv"
