"scientificName","EOO"
"Callospermophilus lateralis",1704582.97619009
"Marmota flaviventris",1718256.71926298
"Neotoma fuscipes",171574.867049231
"Otospermophilus beecheyi",467246.645282233
"Sciurus griseus",376963.853547289
"Spilogale gracilis",3825446.67828151
"Tamiasciurus douglasii",510560.416380028
"Lepus californicus",4392217.83729056
"Cervus canadensis",6042820.88161797
"Neotoma cinerea",3608407.82832965
"Ochotona princeps",894668.89741321
"Sylvilagus nuttallii",2067003.63280161
"Taxidea taxus",8851818.09552558
"Otospermophilus variegatus",2304576.89176334
"Lynx canadensis",8167124.6576947
"Neovison vison",14573783.8940833
"Mustela frenata",12272775.3859849
"Urocitellus armatus",176257.798282213
"Gulo gulo",24394335.1564887
"Macaca fascicularis",2697150.25726012
"Menetes berdmorei",1174246.58990907
"Tamiops rodolphii",590763.667697439
"Callosciurus erythraeus",3996800.87301228
"Chrotogale owstoni",238124.710957914
"Dremomys rufigenis",1600228.66846928
"Muntiacus truongsonensis",7229.12961043069
"Mustela kathiah",2773336.23566374
"Tamiops maritimus",1718636.15439542
"Tupaia belangeri",2980196.97120615
"Kobus vardonii",338174.756936395
"Papio kindae",2347805.26948433
"Rangifer tarandus",18784282.6732535
"Mustela erminea",41482667.3780396
"Ovis canadensis",538062.182990767
"Bassaricyon neblina",120399.355046429
"Sciurus granatensis",988528.231925193
"Mazama rufina",53576.6687533194
"Nasuella olivacea",247828.07544841
"Sciurus pucheranii",238145.284095112
"Tamandua mexicana",1495856.04951153
"Tapirus pinchaque",49536.7708694077
"Cryptoprocta ferox",442881.074190203
"Eulemur fulvus",48620.3680231946
"Fossa fossana",91103.5913097258
"Tenrec ecaudatus",590834.29953859
"Eulemur albifrons",18368.020505847
"Galidia elegans",92492.3514074104
"Galidictis fasciata",82605.5743726368
"Hemicentetes semispinosus",122554.357645602
"Mungotictis decemlineata",13303.6419950112
"Salanoia concolor",18642.9115969054
"Eupleres goudotii",83230.6295855479
"Setifer setosus",590831.629481749
"Suncus etruscus",3765817.86899773
"Hapalemur griseus",85665.6994232616
"Capra aegagrus",1403512.80245575
"Eulemur cinereiceps",1817.0183655247
"Lepilemur fleuretae",708.577756523143
"Damaliscus pygargus",395523.615629288
"Madoqua kirkii",1336497.00316703
"Xerus inauris",1515178.63581427
"Lynx lynx",20530143.0000771
"Martes zibellina",10081922.2372471
"Naemorhedus caudatus",170979.292022249
"Viverra megaspila",852987.387400395
"Sylvilagus bachmani",341163.534855474
"Ammospermophilus harrisii",269488.409871097
"Sylvilagus audubonii",3575896.78823113
"Vulpes macrotis",1611407.33790938
"Xerospermophilus tereticaudus",309353.216996525
"Dendrogale murina",204367.539813062
"Herpestes javanicus",1601958.37496051
"Pygathrix nigripes",95056.8017729543
"Tragulus versicolor",1479.88847089257
"Muntiacus vuquangensis",107262.823805096
"Nesolagus timminsi",24821.8290985969
"Atherurus africanus",3544244.61991179
"Bdeogale nigripes",2110590.77909057
"Cephalophus ogilbyi",437958.898005771
"Cephalophus silvicultor",6159628.13603045
"Cercocebus torquatus",263787.993278685
"Crossarchus obscurus",492155.149213616
"Funisciurus anerythrus",2279777.18771573
"Funisciurus leucogenys",411996.776497557
"Funisciurus pyrropus",2153133.02869514
"Herpestes naso",2656378.51853414
